Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2018-04-24,LSKUSD,13.99,13.99,10.2,12.51,117.24,1382.46
2018-04-23,LSKUSD,11.82,13.99,11.5,13.99,208.91,2471.25
2018-04-22,LSKUSD,11.92,11.92,11.82,11.82,5.87,69.35
2018-04-21,LSKUSD,11.92,11.92,11.92,11.92,0.2401,2.86
2018-04-20,LSKUSD,11.02,11.93,10.18,11.92,27.05,299.74
2018-04-19,LSKUSD,10.48,11.3,10.2,11.02,44.85,504.07
2018-04-18,LSKUSD,10.48,10.48,10.48,10.48,0.0,0.0
2018-04-17,LSKUSD,10.47,10.48,10.47,10.48,1.76,18.48
2018-04-16,LSKUSD,10.49,10.49,10.47,10.47,2.01,21.04
2018-04-15,LSKUSD,10.49,10.49,10.49,10.49,0.0,0.0
2018-04-14,LSKUSD,10.95,10.95,10.47,10.49,5.74,60.21
2018-04-13,LSKUSD,8.75,10.99,8.75,10.95,71.88,757.55
2018-04-12,LSKUSD,8.1,8.75,8.1,8.75,5.72,49.95
2018-04-11,LSKUSD,8.03,8.73,8.03,8.1,1.7,14.13
2018-04-10,LSKUSD,8.02,8.6,8.02,8.03,9.4,76.85
2018-04-09,LSKUSD,9.46,9.46,8.02,8.02,6.54,56.08
2018-04-08,LSKUSD,7.26,9.46,7.26,9.46,14.84,131.82
2018-04-07,LSKUSD,7.09,7.26,7.09,7.26,0.025,0.1815
2018-04-06,LSKUSD,8.88,8.88,7.08,7.09,1.93,13.68
2018-04-05,LSKUSD,8.9,8.9,8.9,8.9,0.0,0.0
2018-04-04,LSKUSD,8.03,9.01,8.03,8.9,49.93,448.43
2018-04-03,LSKUSD,7,9.24,6.5,8.03,106.6,811.21
2018-04-02,LSKUSD,7.27,7.42,7,7,7.13,52.48
2018-04-01,LSKUSD,7.8,8.79,6.95,7.27,175.97,1264.44
2018-03-31,LSKUSD,7.5,7.8,7.5,7.8,0.7459,5.82
2018-03-30,LSKUSD,8,8.1,7.5,7.5,347.82,2711.81
2018-03-29,LSKUSD,9.99,9.99,7.1,8,470.15,4072.49
2018-03-28,LSKUSD,10.4,10.4,9.95,9.99,435.19,4355.81
2018-03-27,LSKUSD,11,11.5,10.4,10.4,110.7,1180.31
2018-03-26,LSKUSD,12.44,12.44,11,11,64.62,711.09
2018-03-25,LSKUSD,12.89,12.89,11.12,12.44,6.64,80.97
2018-03-24,LSKUSD,11.93,12.89,11.93,12.89,2.72,35.0
2018-03-23,LSKUSD,12.26,12.26,11.61,11.93,164.83,1923.61
2018-03-22,LSKUSD,13.66,13.66,10.6,12.26,98.28,1169.11
2018-03-21,LSKUSD,12.16,14.08,12.16,13.66,17.5,243.21
2018-03-20,LSKUSD,12.16,12.16,12.16,12.16,0.0,0.0
2018-03-19,LSKUSD,12.01,14.2,12.01,12.16,7.81,95.0
2018-03-18,LSKUSD,12.5,14.2,11,12.01,304.5,3782.44
2018-03-17,LSKUSD,13.51,14.9,12.5,12.5,8.52,110.39
2018-03-16,LSKUSD,13,14.7,13,13.51,46.24,663.78
2018-03-15,LSKUSD,12.5,14.69,11.2,13,539.81,6510.5
2018-03-14,LSKUSD,14.01,14.97,12.5,12.5,506.04,6777.74
2018-03-13,LSKUSD,14.42,14.5,14.01,14.01,153.54,2194.97
2018-03-12,LSKUSD,14.34,14.81,14.34,14.42,93.23,1357.71
2018-03-11,LSKUSD,14.85,14.9,14.34,14.34,78.37,1159.26
2018-03-10,LSKUSD,15.57,15.75,14.81,14.85,47.41,709.63
2018-03-09,LSKUSD,16.11,17.29,14.8,15.57,474.48,7207.88
2018-03-08,LSKUSD,16,18.39,15.95,16.11,196.31,3265.78
2018-03-07,LSKUSD,17.79,17.97,15.5,16,170.66,2778.65
2018-03-06,LSKUSD,19.4,19.4,16.33,17.79,475.0,8584.67
2018-03-05,LSKUSD,19.48,19.56,18.3,19.4,71.78,1352.09
2018-03-04,LSKUSD,18.52,19.95,18.43,19.48,140.33,2639.1
2018-03-03,LSKUSD,18.72,20.67,18.2,18.52,106.89,1999.17
2018-03-02,LSKUSD,19.56,20.9,18.72,18.72,108.62,2162.88
2018-03-01,LSKUSD,21.05,21.42,18,19.56,446.28,9126.79
2018-02-28,LSKUSD,19.85,21.05,19,21.05,103.45,2014.47
2018-02-27,LSKUSD,20.66,21.18,19.8,19.85,228.89,4573.24
2018-02-26,LSKUSD,20.5,21.41,20,20.66,36.7,756.29
2018-02-25,LSKUSD,21.4,21.4,19.21,20.5,58.49,1158.28
2018-02-24,LSKUSD,21.75,23,20.02,21.4,514.38,11210.71
2018-02-23,LSKUSD,20.75,22.5,19,21.75,410.59,8536.81
2018-02-22,LSKUSD,21.15,29.7,20.01,20.75,406.57,9329.76
2018-02-21,LSKUSD,26.99,26.99,21.15,21.15,209.76,4849.3
2018-02-20,LSKUSD,28.51,31.98,21.1,26.99,1439.58,38969.8
2018-02-19,LSKUSD,29,31.95,28.5,28.51,306.34,8952.87
2018-02-18,LSKUSD,32.32,33,27.52,29,476.09,14131.47
2018-02-17,LSKUSD,31.99,35.05,27.64,32.32,708.92,22929.6
2018-02-16,LSKUSD,31.6,31.99,30.61,31.99,44.39,1401.7
2018-02-15,LSKUSD,27.01,31.93,27.01,31.6,386.11,11600.77
2018-02-14,LSKUSD,29.12,29.12,26.24,27.01,223.24,6099.21
2018-02-13,LSKUSD,28.83,29.12,26.1,29.12,271.87,7537.76
2018-02-12,LSKUSD,24.22,29.13,24.22,28.83,133.28,3746.43
2018-02-11,LSKUSD,28,28.28,23.25,24.22,107.27,2626.34
2018-02-10,LSKUSD,27.97,30,24.02,28,353.01,9981.24
2018-02-09,LSKUSD,23.31,29.97,23.31,27.97,999.01,25793.93
2018-02-08,LSKUSD,21.15,23.54,20.94,23.31,236.17,5258.5
2018-02-07,LSKUSD,18.71,21.3,16.23,21.15,700.81,13680.64
2018-02-06,LSKUSD,17,18.9,11.88,18.71,1489.36,22162.75
2018-02-05,LSKUSD,19.51,21.45,13.9,17,1984.17,32483.14
2018-02-04,LSKUSD,23.03,25.99,19.31,19.51,187.67,4219.52
2018-02-03,LSKUSD,20.98,24.03,19.02,23.03,94.68,2170.97
2018-02-02,LSKUSD,22.87,24.13,15.21,20.98,1003.22,19517.15
2018-02-01,LSKUSD,23.12,27.27,21.2,22.87,561.64,12592.44
2018-01-31,LSKUSD,23.84,28,20,23.12,1633.68,38590.75
2018-01-30,LSKUSD,23,25,20.51,23.84,548.13,12023.15
2018-01-29,LSKUSD,23.9,23.9,22.01,23,98.4,2258.22
2018-01-28,LSKUSD,23.12,23.9,22.91,23.9,154.72,3586.08
2018-01-27,LSKUSD,21.02,23.39,21.02,23.12,50.32,1163.77
2018-01-26,LSKUSD,21.69,24,20.5,21.02,172.52,3737.27
2018-01-25,LSKUSD,22,25,21.07,21.69,209.63,4787.84
2018-01-24,LSKUSD,22.88,22.92,20,22,118.9,2454.74
2018-01-23,LSKUSD,21.95,23,19.52,22.88,226.3,4766.8
2018-01-22,LSKUSD,23.87,23.87,20,21.95,477.51,10114.52
2018-01-21,LSKUSD,26.3,26.37,21.2,23.87,740.87,17941.38
2018-01-20,LSKUSD,25.1,26.38,23.31,26.3,353.67,8708.39
2018-01-19,LSKUSD,27,27,23,25.1,55.32,1386.74
2018-01-18,LSKUSD,26,29.68,23,27,640.24,16845.02
2018-01-17,LSKUSD,26,26.99,0.5,26,2532.08,27329.63
2018-01-16,LSKUSD,30.95,30.95,18,26,1377.98,33312.27
