Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume ETH
2017-11-13,TRXETH,6.4e-06,7.3e-06,5.8e-06,6.7e-06,2715000.0,18.25
2017-11-12,TRXETH,6.1e-06,6.5e-06,5.5e-06,6.4e-06,4930000.0,29.37
2017-11-11,TRXETH,7.2e-06,7.2e-06,5.7e-06,6.1e-06,2043000.0,13.23
2017-11-10,TRXETH,7.5e-06,7.9e-06,6.7e-06,7.2e-06,4333000.0,30.14
2017-11-09,TRXETH,7.7e-06,7.9e-06,7.0e-06,7.5e-06,2835000.0,21.55
2017-11-08,TRXETH,8.0e-06,8.0e-06,7.2e-06,7.7e-06,3460000.0,26.45
2017-11-07,TRXETH,7.8e-06,8.0e-06,7.1e-06,8.0e-06,878000.0,6.77
2017-11-06,TRXETH,8.0e-06,8.0e-06,7.1e-06,7.8e-06,794000.0,6.03
2017-11-05,TRXETH,7.4e-06,8.2e-06,7.3e-06,8.0e-06,741000.0,5.84
2017-11-04,TRXETH,7.9e-06,7.9e-06,7.0e-06,7.4e-06,482000.0,3.76
2017-11-03,TRXETH,8.0e-06,8.5e-06,7.4e-06,7.9e-06,2182000.0,16.98
2017-11-02,TRXETH,8.5e-06,1.0e-05,6.9e-06,8.0e-06,2755000.0,23.07
2017-11-01,TRXETH,9.1e-06,9.7e-06,8.1e-06,8.5e-06,1223000.0,10.9
2017-10-31,TRXETH,9.1e-06,1.04e-05,8.4e-06,9.1e-06,5859000.0,55.06
2017-10-30,TRXETH,1.04e-05,1.05e-05,7.8e-06,9.1e-06,5399000.0,48.51
2017-10-29,TRXETH,1.0e-05,1.07e-05,9.6e-06,1.04e-05,4955000.0,50.87
2017-10-28,TRXETH,1.01e-05,1.05e-05,9.6e-06,1.0e-05,2960000.0,30.09
2017-10-27,TRXETH,9.8e-06,1.1e-05,8.9e-06,1.01e-05,27585000.0,277.61
2017-10-26,TRXETH,1.07e-05,1.08e-05,8.7e-06,9.8e-06,15552000.0,150.15
2017-10-25,TRXETH,9.4e-06,1.14e-05,9.1e-06,1.07e-05,14520000.0,150.16
2017-10-24,TRXETH,9.2e-06,9.5e-06,7.9e-06,9.4e-06,5872000.0,50.23
2017-10-23,TRXETH,8.2e-06,9.2e-06,8.1e-06,9.2e-06,4721000.0,39.74
2017-10-22,TRXETH,7.9e-06,9.9e-06,7.3e-06,8.2e-06,3853000.0,32.52
2017-10-21,TRXETH,6.6e-06,8.0e-06,6.0e-06,7.9e-06,7830000.0,53.21
2017-10-20,TRXETH,5.8e-06,7.3e-06,5.8e-06,6.6e-06,4849000.0,31.52
2017-10-19,TRXETH,5.4e-06,7.0e-06,5.4e-06,5.8e-06,3334000.0,20.69
2017-10-18,TRXETH,6.1e-06,7.3e-06,5.4e-06,5.4e-06,3252000.0,21.56
2017-10-17,TRXETH,6.8e-06,7.1e-06,5.1e-06,6.1e-06,2107000.0,12.29
2017-10-16,TRXETH,7.1e-06,7.1e-06,5.8e-06,6.8e-06,6482000.0,42.73
2017-10-15,TRXETH,6.9e-06,7.1e-06,6.0e-06,7.1e-06,4740000.0,31.77
2017-10-14,TRXETH,6.8e-06,7.0e-06,6.0e-06,6.9e-06,1600000.0,10.89
2017-10-13,TRXETH,7.1e-06,7.7e-06,5.8e-06,6.8e-06,2624000.0,17.74
2017-10-12,TRXETH,8.8e-06,1.0e-05,6.9e-06,7.1e-06,1384000.0,11.62
2017-10-11,TRXETH,8.0e-06,1.08e-05,6.2e-06,8.8e-06,3479000.0,25.51
2017-10-10,TRXETH,6.5e-06,9.5e-06,6.0e-06,8.0e-06,5904000.0,41.39
2017-10-09,TRXETH,8.1e-06,9.0e-06,5.5e-06,6.5e-06,3378000.0,20.91
2017-10-08,TRXETH,9.8e-06,9.8e-06,8.0e-06,8.1e-06,2597000.0,21.63
