Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT
2018-12-24,NEOUSDT,7.55,9,7.55,8.32,2521514.11,21133392.17
2018-12-23,NEOUSDT,6.99,7.97,6.94,7.55,1355058.0,10155138.3
2018-12-22,NEOUSDT,6.8,7.01,6.64,6.99,580958.23,3959322.34
2018-12-21,NEOUSDT,7.12,7.39,6.53,6.8,1368456.55,9551916.96
2018-12-20,NEOUSDT,6.5,7.33,6.45,7.12,1481677.97,10334120.89
2018-12-19,NEOUSDT,6.74,7.25,6.47,6.5,1401789.49,9657584.65
2018-12-18,NEOUSDT,6.47,6.78,6.23,6.74,797010.1,5142560.85
2018-12-17,NEOUSDT,5.68,6.66,5.66,6.47,829272.01,5195963.66
2018-12-16,NEOUSDT,5.59,5.99,5.58,5.68,453157.14,2645556.94
2018-12-15,NEOUSDT,5.63,5.68,5.42,5.59,250692.79,1391174.22
2018-12-14,NEOUSDT,5.72,5.74,5.46,5.63,340508.23,1907959.63
2018-12-13,NEOUSDT,5.98,6,5.58,5.72,421368.88,2453356.28
2018-12-12,NEOUSDT,5.8,6.27,5.72,5.98,399559.63,2417133.37
2018-12-11,NEOUSDT,6.03,6.17,5.67,5.78,428944.09,2519221.76
2018-12-10,NEOUSDT,6.31,6.38,5.88,6.03,516222.57,3160520.07
2018-12-09,NEOUSDT,5.92,6.85,5.91,6.31,593986.82,3774906.4
2018-12-08,NEOUSDT,6.07,6.56,5.58,5.92,690280.93,4167732.75
2018-12-07,NEOUSDT,6.01,6.35,5.4,6.07,1058371.94,6189072.8
2018-12-06,NEOUSDT,7.04,7.36,5.98,6.01,690543.15,4600500.59
2018-12-05,NEOUSDT,7.63,7.66,7,7.04,358447.84,2592558.52
2018-12-04,NEOUSDT,7.36,7.98,7.05,7.63,464464.78,3517332.92
2018-12-03,NEOUSDT,8.01,8.06,7.23,7.36,414837.07,3147731.15
2018-12-02,NEOUSDT,8.14,8.47,7.88,8.01,507032.38,4114601.81
2018-12-01,NEOUSDT,7.77,8.37,7.51,8.14,526671.0,4248849.72
2018-11-30,NEOUSDT,8.46,8.54,7.37,7.79,635511.98,5043869.02
2018-11-29,NEOUSDT,8.37,8.95,7.97,8.46,818664.99,6873382.15
2018-11-28,NEOUSDT,7.36,8.86,7.34,8.37,1276410.75,10378337.56
2018-11-27,NEOUSDT,7.28,7.45,6.81,7.36,613596.67,4373374.8
2018-11-26,NEOUSDT,7.84,8.06,7,7.28,1047335.78,7874715.66
2018-11-25,NEOUSDT,7.59,8.19,6.86,7.84,1181509.91,8816406.98
2018-11-24,NEOUSDT,8.74,9.13,7.36,7.59,689316.48,5696261.86
2018-11-23,NEOUSDT,8.43,8.89,8.02,8.74,887135.34,7423909.5
2018-11-22,NEOUSDT,9.36,9.51,8.36,8.43,709033.29,6388936.59
2018-11-21,NEOUSDT,9.13,9.59,8.67,9.36,1073033.61,9858388.61
2018-11-20,NEOUSDT,10.27,10.6,8.21,9.13,1577717.73,14771669.65
2018-11-19,NEOUSDT,12.69,12.69,10.1,10.27,797296.1,8720367.68
2018-11-18,NEOUSDT,12.59,12.85,12.51,12.69,166909.48,2113656.33
2018-11-17,NEOUSDT,12.87,12.88,12.48,12.59,158859.14,2001540.58
2018-11-16,NEOUSDT,13.27,13.34,12.6,12.87,314331.5,4071027.65
2018-11-15,NEOUSDT,13.95,14.02,12.2,13.27,566325.51,7396915.41
2018-11-14,NEOUSDT,15.57,15.62,12.82,13.95,552605.35,7746639.77
2018-11-13,NEOUSDT,15.92,15.95,15.51,15.57,168769.56,2643898.36
2018-11-12,NEOUSDT,16.18,16.35,15.7,15.92,130796.26,2088262.12
2018-11-11,NEOUSDT,15.99,16.23,15.51,16.18,139034.21,2205283.36
2018-11-10,NEOUSDT,16.01,16.4,15.96,15.99,97892.15,1582903.01
2018-11-09,NEOUSDT,16.41,16.6,15.9,16.01,134099.41,2169270.47
2018-11-08,NEOUSDT,16.83,16.94,16.33,16.41,207870.48,3440792.63
2018-11-07,NEOUSDT,17.12,17.58,16.61,16.83,323460.23,5510952.39
2018-11-06,NEOUSDT,16.42,17.19,16.42,17.12,295860.32,4982039.41
2018-11-05,NEOUSDT,16.9,16.92,16.28,16.42,223139.96,3692506.18
2018-11-04,NEOUSDT,15.98,17.2,15.82,16.9,357307.79,5915160.23
2018-11-03,NEOUSDT,16.3,16.31,15.81,15.98,182541.04,2932616.6
2018-11-02,NEOUSDT,15.84,16.35,15.82,16.3,244075.57,3930542.24
2018-11-01,NEOUSDT,15.47,15.9,15.27,15.84,174352.35,2705275.12
2018-10-31,NEOUSDT,15.25,15.53,14.6,15.47,247172.75,3760492.1
2018-10-30,NEOUSDT,15.47,15.56,15.16,15.25,173812.05,2674188.94
2018-10-29,NEOUSDT,16.22,16.3,15,15.47,279800.29,4385018.25
2018-10-28,NEOUSDT,16.13,16.3,16.09,16.22,140503.42,2275551.14
2018-10-27,NEOUSDT,16.39,16.54,16.08,16.13,161431.47,2629681.87
2018-10-26,NEOUSDT,16.71,16.78,15.87,16.39,262730.14,4303632.99
2018-10-25,NEOUSDT,16.93,16.97,16.65,16.71,174614.35,2925823.65
2018-10-24,NEOUSDT,16.83,17.1,16.73,16.93,259856.51,4405893.36
2018-10-23,NEOUSDT,17.05,17.07,16.68,16.83,196463.13,3309388.36
2018-10-22,NEOUSDT,16.8,17.29,16.62,17.05,411651.96,6965948.44
2018-10-21,NEOUSDT,16.9,17.2,16.72,16.8,451414.63,7680970.56
2018-10-20,NEOUSDT,16.74,17.11,16.52,16.9,431566.13,7281588.3
2018-10-19,NEOUSDT,16.92,17.04,16.6,16.74,351643.81,5904061.58
2018-10-18,NEOUSDT,17.18,18.16,16.71,16.92,732976.61,12725677.0
2018-10-17,NEOUSDT,16.87,17.33,16.72,17.18,542906.03,9277541.39
2018-10-16,NEOUSDT,16.7,16.7,16.54,16.54,0.0,0.0
2018-10-15,NEOUSDT,15.81,18.7,15.51,16.7,1101283.15,18699864.43
2018-10-14,NEOUSDT,15.96,16.47,15.65,15.81,518690.27,8390479.84
2018-10-13,NEOUSDT,15.75,16.09,15.7,15.96,408788.24,6517122.04
2018-10-12,NEOUSDT,15.57,16.29,15.25,15.75,459650.49,7301285.44
2018-10-11,NEOUSDT,18.27,18.29,15.4,15.57,916978.76,15031316.16
2018-10-10,NEOUSDT,18.33,18.39,17.88,18.27,511394.4,9301772.89
2018-10-09,NEOUSDT,18.56,18.62,18.05,18.33,559228.01,10260059.68
2018-10-08,NEOUSDT,18.21,18.82,18.12,18.56,627387.59,11573773.44
2018-10-07,NEOUSDT,17.96,18.29,17.9,18.21,455595.14,8236028.88
2018-10-06,NEOUSDT,18.21,18.62,17.83,17.96,472253.94,8563440.42
2018-10-05,NEOUSDT,18,18.34,17.8,18.21,464858.34,8372283.13
2018-10-04,NEOUSDT,18.03,18.4,17.9,18,528059.14,9612345.52
2018-10-03,NEOUSDT,18.45,18.52,17.69,18.03,535041.98,9606403.84
2018-10-02,NEOUSDT,18.71,18.85,18.01,18.45,537970.78,9988746.42
2018-10-01,NEOUSDT,18.94,19.16,18.23,18.71,540509.42,10141321.26
2018-09-30,NEOUSDT,19.16,19.29,18.5,18.94,559949.47,10624316.15
2018-09-29,NEOUSDT,19.27,19.32,18.4,19.16,572193.87,10808571.59
2018-09-28,NEOUSDT,19.01,20.66,18.58,19.27,1225484.94,23931276.25
2018-09-27,NEOUSDT,17.81,19.33,17.46,19.01,730949.75,13485974.67
2018-09-26,NEOUSDT,18.21,18.66,17.38,17.81,618532.29,11144344.86
2018-09-25,NEOUSDT,18.45,18.45,17,18.21,630451.18,11122764.8
2018-09-24,NEOUSDT,19.56,19.72,18.13,18.45,698321.5,13146048.91
2018-09-23,NEOUSDT,18.84,20.8,18.64,19.56,850424.88,16763079.26
2018-09-22,NEOUSDT,19.85,20.23,18.33,18.84,674753.15,12823161.3
2018-09-21,NEOUSDT,18.19,20.38,17.76,19.85,1458966.63,27700958.68
2018-09-20,NEOUSDT,17.09,18.57,16.96,18.19,825728.69,14463370.65
2018-09-19,NEOUSDT,16.86,17.4,16.25,17.09,671493.67,11407522.8
2018-09-18,NEOUSDT,16.49,17.4,16.29,16.86,618875.33,10429973.41
2018-09-17,NEOUSDT,17.96,18.3,16.2,16.49,975838.52,16808747.0
2018-09-16,NEOUSDT,17.97,18.13,17.18,17.96,527975.99,9391951.3
2018-09-15,NEOUSDT,17.74,18.48,17.74,17.97,611279.86,11117222.14
2018-09-14,NEOUSDT,18.24,18.75,17.61,17.74,848059.83,15385825.8
2018-09-13,NEOUSDT,17.66,18.75,17.59,18.24,1071621.49,19478584.13
2018-09-12,NEOUSDT,17.73,17.8,16.14,17.66,884516.66,15033175.06
2018-09-11,NEOUSDT,18.49,18.82,16.9,17.73,838550.22,15031706.79
2018-09-10,NEOUSDT,18.42,19,18.12,18.49,652880.55,12123964.94
2018-09-09,NEOUSDT,17.9,19.39,17.5,18.42,860705.44,15942270.45
2018-09-08,NEOUSDT,19.52,20.1,17.6,17.9,794400.75,15113317.65
2018-09-07,NEOUSDT,20.46,20.89,18.7,19.52,1152498.71,22971283.46
2018-09-06,NEOUSDT,19.3,20.62,18,20.46,1643291.15,31570130.4
2018-09-05,NEOUSDT,24.19,24.87,19.12,19.3,1708818.72,37258598.09
2018-09-04,NEOUSDT,23.01,25.32,22.4,24.19,1192956.89,28620046.43
2018-09-03,NEOUSDT,22.12,23.7,21.1,23.01,877734.36,19660533.76
2018-09-02,NEOUSDT,22.57,23.37,21.44,22.12,985870.84,21978479.96
2018-09-01,NEOUSDT,20.03,23.27,20.03,22.57,950395.93,20730477.51
2018-08-31,NEOUSDT,19.56,20.38,18.92,20.03,669820.62,13168981.65
2018-08-30,NEOUSDT,19.75,20.13,18.4,19.56,737728.01,14112747.18
2018-08-29,NEOUSDT,21.27,21.33,19.37,19.75,921723.94,18729378.34
2018-08-28,NEOUSDT,20.74,21.74,19.7,21.27,1032071.69,21381373.61
2018-08-27,NEOUSDT,17.51,20.82,17.25,20.74,998677.11,18813333.81
2018-08-26,NEOUSDT,17.6,17.71,16.74,17.51,562639.4,9708145.73
2018-08-25,NEOUSDT,17.72,18.5,17.26,17.6,659700.9,11716313.62
