Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume AUD
2019-06-22 05-AM,LTCAUD,203,204.29,203,204.22,79.33,16191.24
2019-06-22 04-AM,LTCAUD,202,204.49,200.18,203,312.75,63241.42
2019-06-22 03-AM,LTCAUD,206.5,208.59,202,202,504.28,103427.7
2019-06-22 02-AM,LTCAUD,204.52,207.24,202.8,206.5,466.54,95714.82
2019-06-22 01-AM,LTCAUD,202.58,204.97,202.57,204.52,334.7,68123.33
2019-06-22 12-AM,LTCAUD,200.81,202.72,199.91,202.58,238.7,48167.51
2019-06-21 11-PM,LTCAUD,199.48,201.38,198.42,200.81,156.08,31172.54
2019-06-21 10-PM,LTCAUD,199.5,199.5,198.3,199.48,14.3,2842.93
2019-06-21 09-PM,LTCAUD,200.15,200.15,199.5,199.5,22.0,4389.09
2019-06-21 08-PM,LTCAUD,200.23,200.23,200.15,200.15,4.0,800.6
2019-06-21 07-PM,LTCAUD,201.33,201.33,200.23,200.23,24.79,4971.47
2019-06-21 06-PM,LTCAUD,201.33,201.33,201.33,201.33,0.0,0.0
2019-06-21 05-PM,LTCAUD,200.95,201.33,200.95,201.33,6.0,1207.98
2019-06-21 04-PM,LTCAUD,198.84,201,198.84,200.95,4.8,964.68
2019-06-21 03-PM,LTCAUD,200.23,200.47,198.84,198.84,26.7,5332.35
2019-06-21 02-PM,LTCAUD,199.5,201.62,199.01,200.23,93.85,18774.31
2019-06-21 01-PM,LTCAUD,202.66,202.9,198.47,199.5,153.83,30615.77
2019-06-21 12-PM,LTCAUD,203.17,203.17,201.88,202.66,16.58,3355.12
2019-06-21 11-AM,LTCAUD,201.92,204.2,201.92,203.17,259.22,52794.08
2019-06-21 10-AM,LTCAUD,201.09,204.5,200.56,201.92,429.97,87121.55
2019-06-21 09-AM,LTCAUD,199.44,201.09,198.82,201.09,122.17,24403.27
2019-06-21 08-AM,LTCAUD,199.49,199.98,198.75,199.44,61.94,12357.02
2019-06-21 07-AM,LTCAUD,198.84,199.49,198.03,199.49,228.9,45582.17
2019-06-21 06-AM,LTCAUD,198.6,199.45,198.55,198.84,82.28,16384.51
2019-06-21 05-AM,LTCAUD,198.89,198.89,198,198.6,33.22,6582.46
2019-06-21 04-AM,LTCAUD,199.51,199.51,198.01,198.89,131.02,25999.69
2019-06-21 03-AM,LTCAUD,197.93,201,197.93,199.51,241.23,48174.7
2019-06-21 02-AM,LTCAUD,199.49,200,195.89,197.93,389.45,77239.57
2019-06-21 01-AM,LTCAUD,199,201.06,197.9,199.49,279.4,55775.82
2019-06-21 12-AM,LTCAUD,197.37,199,196.86,199,136.06,27005.13
2019-06-20 11-PM,LTCAUD,197.08,197.37,195.89,197.37,97.22,19103.03
2019-06-20 10-PM,LTCAUD,196.64,197.08,195.6,197.08,37.26,7312.82
2019-06-20 09-PM,LTCAUD,196.99,198.11,196.01,196.64,73.91,14590.06
2019-06-20 08-PM,LTCAUD,194.2,197,194.2,196.99,232.77,45734.24
2019-06-20 07-PM,LTCAUD,195.62,195.62,194.2,194.2,11.15,2169.87
2019-06-20 06-PM,LTCAUD,195,195.62,195,195.62,7.549,1476.72
2019-06-20 05-PM,LTCAUD,196.56,196.56,195,195,55.37,10808.21
2019-06-20 04-PM,LTCAUD,196.13,196.68,196.12,196.56,15.35,3016.65
2019-06-20 03-PM,LTCAUD,196.15,196.15,195.43,196.13,17.47,3424.65
2019-06-20 02-PM,LTCAUD,196.71,196.71,195.18,196.15,8.71,1704.28
2019-06-20 01-PM,LTCAUD,195.67,197,195.67,196.71,71.11,13990.29
2019-06-20 12-PM,LTCAUD,196.93,196.93,195.67,195.67,7.541,1480.48
2019-06-20 11-AM,LTCAUD,195.96,196.99,195.32,196.93,33.59,6595.24
2019-06-20 10-AM,LTCAUD,198.95,198.95,195.96,195.96,12.55,2460.63
2019-06-20 09-AM,LTCAUD,195.25,198.95,195.25,198.95,56.74,11199.24
