Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume RUR
2018-07-11,ETHRUR,27801,28450,27250,28200,134.77,3761113.87
2018-07-10,ETHRUR,29556,29834,27500,27801,177.48,5033603.57
2018-07-09,ETHRUR,29954.35,30260,29500,29556,193.63,5775823.59
2018-07-08,ETHRUR,29500,30380.27,29296.34,29954.35,168.05,5022861.67
2018-07-07,ETHRUR,29199.8,29500,28800,29500,106.94,3105731.82
2018-07-06,ETHRUR,29227.84,29444.2,28490,29199.8,118.0,3405891.37
2018-07-05,ETHRUR,29000.02,29820,28550,29227.84,195.17,5721515.74
2018-07-04,ETHRUR,28701,29500,27995,29000.02,193.49,5547510.53
2018-07-03,ETHRUR,29001.99,29500.1,28400,28701,179.71,5205527.01
2018-07-02,ETHRUR,27772.27,29250,27395.22,29001.99,171.83,4838770.95
2018-07-01,ETHRUR,27398.32,28109,27176.62,27772.27,135.5,3733530.71
2018-06-30,ETHRUR,27000.22,28300,26634.89,27398.32,143.12,3948551.06
2018-06-29,ETHRUR,27191.39,27308.59,25601,27000.22,163.67,4323731.27
2018-06-28,ETHRUR,27540.4,27601,26870,27191.39,122.67,3329070.43
2018-06-27,ETHRUR,27137.54,27681.09,26738.01,27540.4,142.47,3852722.35
2018-06-26,ETHRUR,28658,29000,27099,27137.54,114.43,3192822.43
2018-06-25,ETHRUR,28627.74,29200,27900,28658,131.45,3761587.4
2018-06-24,ETHRUR,30510,30571.21,27664,28627.74,175.95,5073243.92
2018-06-23,ETHRUR,30082.92,30810.18,29812.5,30510,92.04,2777431.82
2018-06-22,ETHRUR,32471,32667.41,29500,30082.92,203.1,6230889.02
2018-06-21,ETHRUR,33000.63,33300,32471,32471,135.19,4439099.95
2018-06-20,ETHRUR,33500.02,33800,32210.05,33000.63,189.19,6200682.68
2018-06-19,ETHRUR,31913,34000,31500,33500.02,192.48,6303172.57
2018-06-18,ETHRUR,30830,32525.45,30500,31913,180.28,5622187.51
2018-06-17,ETHRUR,31449.6,31500,30800,30830,118.02,3673251.97
2018-06-16,ETHRUR,31037,31500,30611,31449.6,96.13,2989036.58
2018-06-15,ETHRUR,32678.28,33459,30500.34,31037,178.89,5675069.27
2018-06-14,ETHRUR,30024.58,32905,29370,32678.28,221.51,6870203.52
2018-06-13,ETHRUR,31806,31909,29001,30024.58,245.92,7448950.42
2018-06-12,ETHRUR,33197,33500,31200,31806,144.32,4734543.2
2018-06-11,ETHRUR,33865.15,33961.68,32235.53,33197,127.09,4197894.16
2018-06-10,ETHRUR,36445,36445,32754.87,33865.15,197.67,6868345.73
2018-06-09,ETHRUR,36200.93,36650,36067.83,36445,162.65,5914705.21
2018-06-08,ETHRUR,36419,36628.44,36006,36200.93,162.58,5891402.31
2018-06-07,ETHRUR,36190,36850,36100,36419,200.21,7289891.34
2018-06-06,ETHRUR,36556.67,36950,36000,36190,188.78,6859971.79
2018-06-05,ETHRUR,36100,37149.01,35501,36556.67,174.88,6341202.24
2018-06-04,ETHRUR,37999,38000.55,35524.09,36100,190.26,6968678.17
2018-06-03,ETHRUR,36459,38000,36000.1,37999,225.61,8419338.97
2018-06-02,ETHRUR,35550.01,37000,35000,36459,160.29,5789537.35
2018-06-01,ETHRUR,35999,36100,34959,35550.01,155.84,5537708.57
2018-05-31,ETHRUR,35201,36000,34604.8,35999,223.45,7906249.3
2018-05-30,ETHRUR,35609.52,36300,33661,35201,221.21,7743967.74
2018-05-29,ETHRUR,32500,35709.98,32176,35609.52,230.23,7896478.4
2018-05-28,ETHRUR,36488.51,36989,31000,32500,246.64,8326179.8
2018-05-27,ETHRUR,37112.71,37589.96,35555,36488.51,127.26,4648750.23
2018-05-26,ETHRUR,36733.14,37900.8,36500,37112.71,169.9,6345907.79
2018-05-25,ETHRUR,37300,38301.97,36533.1,36733.14,229.29,8529862.65
2018-05-24,ETHRUR,35721,37998,35060,37300,341.85,12503160.87
2018-05-23,ETHRUR,40190,40350,34550,35721,378.66,14241798.28
2018-05-22,ETHRUR,42524.09,43000,39600,40190,237.39,9836147.54
2018-05-21,ETHRUR,43999,44398,41700,42524.09,246.2,10664743.39
2018-05-20,ETHRUR,43200,44499,42828,43999,217.03,9484766.75
2018-05-19,ETHRUR,42700,44100,42100,43200,213.17,9175297.01
2018-05-18,ETHRUR,41333.99,42930,41000,42700,230.13,9629948.62
2018-05-17,ETHRUR,43400,44000,41100,41333.99,315.1,13489922.86
2018-05-16,ETHRUR,43480,44000,42275,43400,155.24,6687648.85
2018-05-15,ETHRUR,44753.61,45360.31,43480,43480,209.1,9306322.06
2018-05-14,ETHRUR,46500.6,46500.6,44251.76,44753.61,264.85,11945483.18
2018-05-13,ETHRUR,43764.73,46508,42900,46500.6,212.72,9533052.3
2018-05-12,ETHRUR,42100,44281.76,40110.77,43764.73,257.22,10879532.86
2018-05-11,ETHRUR,45835,46294,41501,42100,389.76,16862639.5
2018-05-10,ETHRUR,46417.73,47550,45700,45835,207.62,9692391.73
2018-05-09,ETHRUR,47660.58,47998,45558.3,46417.73,208.86,9702685.54
2018-05-08,ETHRUR,45800,47999,45200,47660.58,308.57,14335981.26
2018-05-07,ETHRUR,48037.1,48718.25,43484.03,45800,423.83,19339183.66
2018-05-06,ETHRUR,50149.85,51084.87,47100,48037.1,326.03,15832189.66
2018-05-05,ETHRUR,47804,51000,47114.08,50149.85,327.49,16292087.67
2018-05-04,ETHRUR,46558.72,49085.03,45580.72,47804,383.4,18294604.85
2018-05-03,ETHRUR,42250,46900,42000,46558.72,359.63,16167758.42
2018-05-02,ETHRUR,41750.63,42500,41005.63,42250,270.67,11364579.48
2018-05-01,ETHRUR,40880,42002.55,39681.25,41750.63,227.85,9358636.03
2018-04-30,ETHRUR,41601,42170.22,40880,40880,236.79,9848319.19
2018-04-29,ETHRUR,41000,41830.07,40313.43,41601,190.25,7839328.15
2018-04-28,ETHRUR,39985.96,41500,39711.1,41000,230.77,9410437.89
2018-04-27,ETHRUR,40500.01,41680,39282.87,39985.96,353.47,14320406.13
2018-04-26,ETHRUR,38543.75,40700,37383.62,40500.01,291.37,11309647.27
2018-04-25,ETHRUR,42140,42450,35111,38543.75,456.11,17519589.88
2018-04-24,ETHRUR,39199,42790,38750,42140,302.31,12545498.52
2018-04-23,ETHRUR,37700,39645.56,37250,39199,246.75,9509068.23
2018-04-22,ETHRUR,35935.43,38763,35208.3,37700,273.67,10232122.21
