Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ARUR
2018-08-10 07-PM,LIZARUR,150,164.5,145,164.5,102.5,16742.68
2018-08-10 06-PM,LIZARUR,130,160,130,150,6.39,833.53
2018-08-10 05-PM,LIZARUR,168,168,130,130,6.25,848.68
2018-08-10 04-PM,LIZARUR,173,173,135,168,63.38,10647.71
2018-08-10 03-PM,LIZARUR,179,179,173,173,11.0,1913.0
2018-08-10 02-PM,LIZARUR,129,190,129,179,17.73,2779.84
2018-08-10 01-PM,LIZARUR,129,220,129,129,392.62,57348.73
2018-08-10 12-PM,LIZARUR,126,129,118,129,37.5,4447.0
2018-08-10 11-AM,LIZARUR,126,126,106,126,260.65,32815.09
2018-08-10 10-AM,LIZARUR,125,129,105.5,126,49.38,6024.42
2018-08-10 09-AM,LIZARUR,135,139,125,125,143.79,19295.27
2018-08-10 08-AM,LIZARUR,139,139,125,135,18.31,2340.26
2018-08-10 07-AM,LIZARUR,151.1,157,125,139,33.94,4477.6
2018-08-10 06-AM,LIZARUR,152,152,150,151.1,1.0,150.55
2018-08-10 05-AM,LIZARUR,144.5,152,144.5,152,8.84,1330.08
2018-08-10 04-AM,LIZARUR,141.1,144.5,124,144.5,445.1,57676.37
2018-08-10 03-AM,LIZARUR,141,141.1,141,141.1,3.0,423.3
2018-08-10 02-AM,LIZARUR,164.34,164.34,141,141,111.29,17220.72
2018-08-10 01-AM,LIZARUR,170,170,164.34,164.34,1.02,171.93
2018-08-10 12-AM,LIZARUR,165,182.5,165,170,11.01,2005.99
2018-08-09 11-PM,LIZARUR,164.34,182.5,164.34,165,0.01472,2.58
2018-08-09 10-PM,LIZARUR,183,183,164.34,164.34,55.1,9991.82
2018-08-09 09-PM,LIZARUR,183,183,183,183,2.73,500.13
2018-08-09 08-PM,LIZARUR,183,183,183,183,0.0,0.0
2018-08-09 07-PM,LIZARUR,183,183,183,183,0.0,0.0
2018-08-09 06-PM,LIZARUR,180,183,165,183,30.14,4985.47
2018-08-09 05-PM,LIZARUR,188.6,188.6,165,180,9.31,1643.07
2018-08-09 04-PM,LIZARUR,180,190,165,188.6,71.13,13203.43
2018-08-09 03-PM,LIZARUR,161.28,180,161.28,180,1.0,180.24
2018-08-09 02-PM,LIZARUR,165,175,157,161.28,12.28,2034.31
2018-08-09 01-PM,LIZARUR,171.2,180,165,165,37.39,6668.79
2018-08-09 12-PM,LIZARUR,179,189.18,171.2,171.2,5.02,913.63
2018-08-09 11-AM,LIZARUR,173.28,180.03,171.66,179,1.81,311.14
2018-08-09 10-AM,LIZARUR,198.45,198.45,173.11,173.28,15.39,2690.74
2018-08-09 09-AM,LIZARUR,205,208.85,180.1,198.45,87.94,16501.78
2018-08-09 08-AM,LIZARUR,192,205,192,205,0.03991,7.93
2018-08-09 07-AM,LIZARUR,192,192,192,192,0.0,0.0
2018-08-09 06-AM,LIZARUR,180,211,180,192,0.03823,8.0
2018-08-09 05-AM,LIZARUR,195,195,180,180,1.0,180.0
2018-08-09 04-AM,LIZARUR,195.6,195.6,161,195,4.36,737.56
2018-08-09 03-AM,LIZARUR,220,220,195.6,195.6,0.2,39.12
2018-08-09 02-AM,LIZARUR,220.05,220.05,220,220,42.06,9255.41
2018-08-09 01-AM,LIZARUR,220.05,220.05,218.73,220.05,3.25,713.73
2018-08-09 12-AM,LIZARUR,220.05,220.05,220,220.05,2.22,488.94
2018-08-08 11-PM,LIZARUR,220,229,135.08,220.05,45.68,9819.09
2018-08-08 10-PM,LIZARUR,180,221,130,220,119.51,20908.85
2018-08-08 09-PM,LIZARUR,205.5,215,180,180,150.48,29785.82
2018-08-08 08-PM,LIZARUR,200,227,200,205.5,81.11,16969.02
2018-08-08 07-PM,LIZARUR,215,215,200,200,138.74,29507.55
2018-08-08 06-PM,LIZARUR,214,227.78,214,215,2.52,573.29
