Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume METH
2018-06-03,QTUMETH,0.02467,0.02471,0.02343,0.02361,104367.69,2498.1
2018-06-02,QTUMETH,0.02477,0.0255,0.02418,0.02467,111263.43,2750.48
2018-06-01,QTUMETH,0.023,0.0249,0.02285,0.02477,79365.72,1886.1
2018-05-31,QTUMETH,0.02339,0.0234,0.02291,0.023,64244.23,1488.71
2018-05-30,QTUMETH,0.02334,0.02369,0.02298,0.02339,72688.96,1694.94
2018-05-29,QTUMETH,0.02355,0.02382,0.02293,0.02334,70080.38,1639.86
2018-05-28,QTUMETH,0.02316,0.02414,0.02296,0.02355,67989.7,1594.28
2018-05-27,QTUMETH,0.02241,0.02338,0.02208,0.02316,64373.17,1459.92
2018-05-26,QTUMETH,0.02264,0.02271,0.02217,0.02241,61382.19,1377.98
2018-05-25,QTUMETH,0.02309,0.02318,0.02202,0.02264,63826.39,1434.6
2018-05-24,QTUMETH,0.02279,0.02343,0.02218,0.02309,73302.67,1675.82
2018-05-23,QTUMETH,0.02314,0.0233,0.02244,0.02279,85492.63,1951.32
2018-05-22,QTUMETH,0.0232,0.02343,0.02228,0.02314,64392.34,1473.93
2018-05-21,QTUMETH,0.02329,0.02369,0.02282,0.0232,64071.38,1485.95
2018-05-20,QTUMETH,0.02298,0.0237,0.02253,0.02329,66911.59,1543.12
2018-05-19,QTUMETH,0.02308,0.02321,0.02245,0.02298,70055.25,1595.53
2018-05-18,QTUMETH,0.02291,0.02334,0.02244,0.02308,62763.28,1433.21
2018-05-17,QTUMETH,0.02333,0.0237,0.02255,0.02291,66392.56,1536.27
2018-05-16,QTUMETH,0.02375,0.02386,0.023,0.02333,61169.81,1429.47
2018-05-15,QTUMETH,0.02427,0.02517,0.02358,0.02375,64428.52,1568.32
2018-05-14,QTUMETH,0.02366,0.02587,0.02312,0.02427,72143.9,1731.28
2018-05-13,QTUMETH,0.0236,0.02505,0.02339,0.02366,68552.27,1636.56
2018-05-12,QTUMETH,0.02338,0.02433,0.02225,0.0236,77662.15,1825.47
2018-05-11,QTUMETH,0.02523,0.02538,0.02279,0.02338,76604.93,1847.92
2018-05-10,QTUMETH,0.02644,0.0266,0.02523,0.02523,68748.4,1787.28
2018-05-09,QTUMETH,0.02758,0.02764,0.02635,0.02644,65387.51,1750.35
2018-05-08,QTUMETH,0.02831,0.02851,0.02736,0.02758,70066.0,1963.74
2018-05-07,QTUMETH,0.02889,0.02992,0.02793,0.02831,76899.36,2203.77
2018-05-06,QTUMETH,0.02762,0.02952,0.0272,0.02889,73657.81,2073.39
2018-05-05,QTUMETH,0.02821,0.02826,0.02727,0.02762,70208.55,1950.85
2018-05-04,QTUMETH,0.02927,0.03066,0.0276,0.02821,68866.46,1973.07
2018-05-03,QTUMETH,0.03232,0.03249,0.02907,0.02927,59239.62,1799.46
2018-05-02,QTUMETH,0.03272,0.03287,0.03174,0.03232,28383.44,913.26
2018-05-01,QTUMETH,0.03336,0.03352,0.03195,0.03272,28355.93,920.72
2018-04-30,QTUMETH,0.0332,0.03706,0.03245,0.03336,27116.54,933.63
2018-04-29,QTUMETH,0.03173,0.03464,0.03017,0.0332,32691.81,1052.39
2018-04-28,QTUMETH,0.03049,0.0323,0.03013,0.03173,30824.52,950.28
2018-04-27,QTUMETH,0.03165,0.03195,0.02992,0.03049,27126.53,837.15
2018-04-26,QTUMETH,0.031,0.032,0.02961,0.03165,24760.71,761.98
2018-04-25,QTUMETH,0.03226,0.03228,0.03027,0.031,26341.51,819.28
2018-04-24,QTUMETH,0.03185,0.03392,0.03051,0.03226,21812.6,693.58
2018-04-23,QTUMETH,0.03077,0.03273,0.03068,0.03185,26473.02,843.0
2018-04-22,QTUMETH,0.03186,0.03194,0.03054,0.03077,20573.45,640.48
2018-04-21,QTUMETH,0.03292,0.03374,0.03083,0.03186,24570.35,783.92
2018-04-20,QTUMETH,0.03288,0.03392,0.03213,0.03292,24156.82,790.21
2018-04-19,QTUMETH,0.03344,0.03423,0.03245,0.03288,21504.35,712.52
2018-04-18,QTUMETH,0.03214,0.0337,0.03211,0.03344,11690.87,384.79
2018-04-17,QTUMETH,0.03243,0.03287,0.03195,0.03214,11427.81,370.5
2018-04-16,QTUMETH,0.03167,0.03243,0.03092,0.03243,12125.65,380.42
2018-04-15,QTUMETH,0.03147,0.03272,0.0312,0.03167,12308.23,390.68
2018-04-14,QTUMETH,0.03165,0.03223,0.03139,0.03147,13410.73,425.46
2018-04-13,QTUMETH,0.03364,0.035,0.03156,0.03165,17879.81,590.08
2018-04-12,QTUMETH,0.03337,0.03418,0.03175,0.03364,15952.1,529.01
2018-04-11,QTUMETH,0.03249,0.03408,0.03195,0.03337,11453.59,374.88
2018-04-10,QTUMETH,0.03353,0.03353,0.03234,0.03249,10720.5,354.22
2018-04-09,QTUMETH,0.03346,0.03541,0.0325,0.03353,12215.6,409.11
2018-04-08,QTUMETH,0.03405,0.03407,0.03328,0.03346,12432.02,418.41
2018-04-07,QTUMETH,0.03457,0.03574,0.03398,0.03405,13044.39,448.85
2018-04-06,QTUMETH,0.03491,0.03536,0.0341,0.03457,13704.65,474.25
2018-04-05,QTUMETH,0.03566,0.03583,0.03428,0.03491,10546.23,367.99
2018-04-04,QTUMETH,0.03599,0.03642,0.0355,0.03566,13882.09,497.28
2018-04-03,QTUMETH,0.03693,0.03782,0.03585,0.03599,11780.02,431.23
2018-04-02,QTUMETH,0.03542,0.038,0.03515,0.03693,10970.43,400.34
2018-04-01,QTUMETH,0.03564,0.03609,0.03484,0.03542,11279.94,401.59
2018-03-31,QTUMETH,0.03606,0.03625,0.03494,0.03564,11537.43,410.05
2018-03-30,QTUMETH,0.03686,0.0372,0.03575,0.03606,15284.21,556.73
2018-03-29,QTUMETH,0.03473,0.0375,0.0344,0.03686,17623.35,628.8
2018-03-28,QTUMETH,0.03376,0.03515,0.03372,0.03473,12525.42,430.33
2018-03-27,QTUMETH,0.03296,0.03609,0.03176,0.03376,14520.72,485.41
2018-03-26,QTUMETH,0.03421,0.03456,0.03191,0.03296,10469.02,348.37
2018-03-25,QTUMETH,0.03405,0.03498,0.03393,0.03421,6673.53,229.51
2018-03-24,QTUMETH,0.03402,0.03615,0.03369,0.03405,7279.85,249.2
2018-03-23,QTUMETH,0.03568,0.03569,0.03392,0.03402,10241.52,356.3
2018-03-22,QTUMETH,0.03482,0.03653,0.03392,0.03568,13846.86,477.59
2018-03-21,QTUMETH,0.03671,0.03717,0.03369,0.03482,14114.79,498.52
2018-03-20,QTUMETH,0.03585,0.04056,0.03475,0.03671,25338.85,957.04
2018-03-19,QTUMETH,0.02484,0.038,0.02481,0.03585,28704.24,852.58
2018-03-18,QTUMETH,0.02442,0.02513,0.02341,0.02484,18189.16,437.57
2018-03-17,QTUMETH,0.02469,0.02482,0.02385,0.02442,11441.61,279.14
2018-03-16,QTUMETH,0.02541,0.02563,0.02439,0.02469,11601.21,288.71
2018-03-15,QTUMETH,0.02596,0.02652,0.02437,0.02541,13484.39,339.14
2018-03-14,QTUMETH,0.02606,0.02642,0.02593,0.02596,12929.95,338.2
2018-03-13,QTUMETH,0.02602,0.02626,0.02558,0.02606,11365.58,294.6
2018-03-12,QTUMETH,0.02661,0.02669,0.02587,0.02602,12327.97,322.38
