Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2018-08-04,DASHETH,0.5052,0.51,0.495,0.4971,112.14,56.45
2018-08-03,DASHETH,0.5123,0.5137,0.4973,0.5052,147.21,74.26
2018-08-02,DASHETH,0.5217,0.5235,0.5032,0.5123,115.14,58.86
2018-08-01,DASHETH,0.5028,0.5325,0.5018,0.5217,129.24,67.02
2018-07-31,DASHETH,0.5145,0.523,0.4944,0.5028,123.6,62.73
2018-07-30,DASHETH,0.5147,0.5215,0.5096,0.5145,119.43,61.45
2018-07-29,DASHETH,0.5141,0.5184,0.5108,0.5147,100.57,51.77
2018-07-28,DASHETH,0.5221,0.523,0.5124,0.5141,110.42,57.07
2018-07-27,DASHETH,0.5237,0.5453,0.5084,0.5221,127.24,66.53
2018-07-26,DASHETH,0.5213,0.5292,0.508,0.5237,142.28,73.66
2018-07-25,DASHETH,0.5272,0.5315,0.5079,0.5213,138.36,72.16
2018-07-24,DASHETH,0.5371,0.5388,0.515,0.5272,137.76,72.62
2018-07-23,DASHETH,0.5467,0.5563,0.5143,0.5371,164.69,87.63
2018-07-22,DASHETH,0.5546,0.5621,0.5375,0.5467,120.01,65.77
2018-07-21,DASHETH,0.542,0.5554,0.5164,0.5546,158.12,84.47
2018-07-20,DASHETH,0.5576,0.6089,0.5392,0.542,187.41,108.32
2018-07-19,DASHETH,0.5554,0.5723,0.5408,0.5576,210.34,117.29
2018-07-18,DASHETH,0.5202,0.5574,0.517,0.5554,311.46,165.06
2018-07-17,DASHETH,0.5132,0.525,0.5124,0.5202,2579.65,1353.52
2018-07-16,DASHETH,0.5152,0.525,0.5018,0.5132,918.47,480.42
2018-07-15,DASHETH,0.5126,0.5199,0.5047,0.5152,106.86,54.7
2018-07-14,DASHETH,0.504,0.5159,0.4983,0.5126,75.14,37.98
2018-07-13,DASHETH,0.4947,0.552,0.4914,0.504,228.18,118.04
2018-07-12,DASHETH,0.4905,0.4956,0.4825,0.4947,3279.05,1587.39
2018-07-11,DASHETH,0.5104,0.5107,0.4884,0.4905,108.94,54.25
2018-07-10,DASHETH,0.489,0.5129,0.4854,0.5104,116.99,58.33
2018-07-09,DASHETH,0.4999,0.5075,0.4832,0.489,146.29,72.14
2018-07-08,DASHETH,0.5076,0.5098,0.4915,0.4999,125.55,63.05
2018-07-07,DASHETH,0.5156,0.5211,0.5063,0.5076,110.67,56.82
2018-07-06,DASHETH,0.5156,0.5211,0.5032,0.5156,117.38,60.04
2018-07-05,DASHETH,0.5252,0.5338,0.5123,0.5156,126.19,66.11
2018-07-04,DASHETH,0.5208,0.531,0.5003,0.5252,137.3,71.41
2018-07-03,DASHETH,0.5256,0.5451,0.5197,0.5208,135.6,72.41
2018-07-02,DASHETH,0.5211,0.5431,0.5202,0.5256,138.73,73.8
2018-07-01,DASHETH,0.5261,0.5279,0.5109,0.5211,106.94,55.57
2018-06-30,DASHETH,0.5406,0.5447,0.5164,0.5261,117.78,62.79
2018-06-29,DASHETH,0.5207,0.5509,0.5155,0.5406,116.47,62.08
2018-06-28,DASHETH,0.5193,0.523,0.5048,0.5207,92.61,47.64
2018-06-27,DASHETH,0.5335,0.5357,0.5164,0.5193,117.94,62.04
2018-06-26,DASHETH,0.5233,0.5358,0.5201,0.5335,142.97,75.12
2018-06-25,DASHETH,0.5228,0.5358,0.5156,0.5233,124.5,65.4
2018-06-24,DASHETH,0.5122,0.5379,0.5095,0.5228,151.29,79.19
2018-06-23,DASHETH,0.5083,0.5293,0.5068,0.5122,117.44,60.71
2018-06-22,DASHETH,0.4949,0.5199,0.4928,0.5083,149.6,75.11
2018-06-21,DASHETH,0.4956,0.5015,0.49,0.4949,120.93,60.03
2018-06-20,DASHETH,0.4872,0.4985,0.4783,0.4956,159.2,77.54
2018-06-19,DASHETH,0.5125,0.5231,0.4826,0.4872,231.71,118.12
2018-06-18,DASHETH,0.5337,0.5342,0.5017,0.5125,109.52,56.38
2018-06-17,DASHETH,0.5363,0.5407,0.5252,0.5337,120.72,64.22
2018-06-16,DASHETH,0.5224,0.5367,0.514,0.5363,112.01,58.74
2018-06-15,DASHETH,0.5162,0.5423,0.5124,0.5224,120.97,63.18
2018-06-14,DASHETH,0.5142,0.5454,0.5094,0.5162,203.69,107.83
